Output :-
=================================
/usr/bin/python2.7 /home/sucheta/PycharmProjects/Assignment273/socket_mon.py
"pid","laddr","raddr","status"
"2360","10.0.2.15@60158","172.217.5.101@443","ESTABLISHED"
"2360","10.0.2.15@45246","74.125.199.189@443","ESTABLISHED"
"2360","10.0.2.15@50688","172.217.5.106@443","ESTABLISHED"
"2360","10.0.2.15@34240","172.217.5.99@443","ESTABLISHED"
"2360","10.0.2.15@39440","172.217.5.110@80","ESTABLISHED"
"2360","10.0.2.15@58092","172.217.5.97@443","ESTABLISHED"
"2360","10.0.2.15@48172","172.217.5.100@443","ESTABLISHED"
"2360","10.0.2.15@52114","172.217.5.109@443","ESTABLISHED"
"2360","10.0.2.15@36030","216.58.217.199@443","ESTABLISHED"
"2360","10.0.2.15@50690","172.217.5.106@443","ESTABLISHED"
"2360","10.0.2.15@39464","172.217.5.110@80","ESTABLISHED"
"2360","10.0.2.15@52754","172.217.5.110@443","ESTABLISHED"
"2360","10.0.2.15@34418","172.217.6.34@443","ESTABLISHED"
"2360","10.0.2.15@60168","172.217.5.101@443","ESTABLISHED"
"2360","10.0.2.15@52770","172.217.5.110@443","ESTABLISHED"
"None","10.0.2.15@52774","172.217.5.110@443","TIME_WAIT"
"None","10.0.2.15@38958","54.192.147.145@443","TIME_WAIT"
"None","10.0.2.15@38952","54.192.147.145@443","TIME_WAIT"
"None","10.0.2.15@38954","54.192.147.145@443","TIME_WAIT"
